year,month,privateThousands,goodsThousands,serviceThousands,privatePercent,goodsPercent,servicePercent
2002,April,"109,145.16","22,677.03","86,468.13",,,
2002,May,"109,007.42","22,567.46","86,439.96",-0.13,-0.48,-0.03
2002,June,"108,966.75","22,488.80","86,477.96",-0.04,-0.35,+0.04
2002,July,"108,946.18","22,427.95","86,518.23",-0.02,-0.27,+0.05
2002,August,"108,958.17","22,376.43","86,581.75",+0.01,-0.23,+0.07
2002,September,"108,807.88","22,276.53","86,531.35",-0.14,-0.45,-0.06
2002,October,"108,854.99","22,221.55","86,633.44",+0.04,-0.25,+0.12
2002,November,"108,843.92","22,178.54","86,665.39",-0.01,-0.19,+0.04
2002,December,"108,764.92","22,124.91","86,640.01",-0.07,-0.24,-0.03
2003,January,"108,652.03","22,080.63","86,571.40",-0.1,-0.2,-0.08
2003,February,"108,678.36","22,048.00","86,630.36",+0.02,-0.15,+0.07
2003,March,"108,636.00","21,945.00","86,691.00",-0.04,-0.47,+0.07
2003,April,"108,627.86","21,890.30","86,737.56",-0.01,-0.25,+0.05
2003,May,"108,552.37","21,833.24","86,719.13",-0.07,-0.26,-0.02
2003,June,"108,527.36","21,822.48","86,704.88",-0.02,-0.05,-0.02
2003,July,"108,554.88","21,756.50","86,798.38",+0.03,-0.3,+0.11
2003,August,"108,489.38","21,685.05","86,804.33",-0.06,-0.33,+0.01
2003,September,"108,558.14","21,637.50","86,920.64",+0.06,-0.22,+0.13
2003,October,"108,731.93","21,652.05","87,079.88",+0.16,+0.07,+0.18
2003,November,"108,979.02","21,711.69","87,267.33",+0.23,+0.28,+0.22
2003,December,"109,146.05","21,721.84","87,424.21",+0.15,+0.05,+0.18
2004,January,"109,213.57","21,700.72","87,512.85",+0.06,-0.1,+0.1
2004,February,"109,380.00","21,713.55","87,666.46",+0.15,+0.06,+0.18
2004,March,"109,568.00","21,758.00","87,810.00",+0.17,+0.2,+0.16
2004,April,"109,737.96","21,789.91","87,948.05",+0.16,+0.15,+0.16
2004,May,"109,792.14","21,827.88","87,964.26",+0.05,+0.17,+0.02
2004,June,"109,960.71","21,861.89","88,098.83",+0.15,+0.16,+0.15
2004,July,"110,040.66","21,809.89","88,230.76",+0.07,-0.24,+0.15
2004,August,"110,227.62","21,859.05","88,368.57",+0.17,+0.23,+0.16
2004,September,"110,397.17","21,888.84","88,508.33",+0.15,+0.14,+0.16
2004,October,"110,532.78","21,918.42","88,614.36",+0.12,+0.14,+0.12
2004,November,"110,710.35","21,981.98","88,728.37",+0.16,+0.29,+0.13
2004,December,"110,964.19","21,996.92","88,967.27",+0.23,+0.07,+0.27
2005,January,"111,122.65","21,992.78","89,129.87",+0.14,-0.02,+0.18
2005,February,"111,268.11","22,062.32","89,205.79",+0.13,+0.32,+0.09
2005,March,"111,432.00","22,066.00","89,366.00",+0.15,+0.02,+0.18
2005,April,"111,731.77","22,150.55","89,581.22",+0.27,+0.38,+0.24
2005,May,"111,974.58","22,194.71","89,779.87",+0.22,+0.2,+0.22
2005,June,"112,247.53","22,251.97","89,995.56",+0.24,+0.26,+0.24
2005,July,"112,528.66","22,325.13","90,203.53",+0.25,+0.33,+0.23
2005,August,"112,718.92","22,333.86","90,385.06",+0.17,+0.04,+0.2
2005,September,"112,684.34","22,278.22","90,406.12",-0.03,-0.25,+0.02
2005,October,"112,818.08","22,280.56","90,537.52",+0.12,+0.01,+0.15
2005,November,"113,071.37","22,322.40","90,748.97",+0.22,+0.19,+0.23
2005,December,"113,295.97","22,384.10","90,911.88",+0.2,+0.28,+0.18
2006,January,"113,591.91","22,447.86","91,144.05",+0.26,+0.28,+0.26
2006,February,"113,951.56","22,507.93","91,443.64",+0.32,+0.27,+0.33
2006,March,"114,160.00","22,572.00","91,588.00",+0.18,+0.28,+0.16
2006,April,"114,239.57","22,562.38","91,677.18",+0.07,-0.04,+0.1
2006,May,"114,414.68","22,566.01","91,848.67",+0.15,+0.02,+0.19
2006,June,"114,520.97","22,537.72","91,983.25",+0.09,-0.13,+0.15
2006,July,"114,644.25","22,507.43","92,136.83",+0.11,-0.13,+0.17
2006,August,"114,829.66","22,520.39","92,309.27",+0.16,+0.06,+0.19
2006,September,"114,887.71","22,506.02","92,381.69",+0.05,-0.06,+0.08
2006,October,"114,996.87","22,498.49","92,498.38",+0.1,-0.03,+0.13
2006,November,"114,983.96","22,423.44","92,560.52",-0.01,-0.33,+0.07
2006,December,"115,154.98","22,395.59","92,759.40",+0.15,-0.12,+0.21
2007,January,"115,395.88","22,424.41","92,971.47",+0.21,+0.13,+0.23
2007,February,"115,506.98","22,396.04","93,110.94",+0.1,-0.13,+0.15
2007,March,"115,661.00","22,391.00","93,270.00",+0.13,-0.02,+0.17
2007,April,"115,699.89","22,369.20","93,330.69",+0.03,-0.1,+0.07
2007,May,"115,782.04","22,310.91","93,471.14",+0.07,-0.26,+0.15
2007,June,"115,797.40","22,251.23","93,546.17",+0.01,-0.27,+0.08
2007,July,"115,844.39","22,222.76","93,621.63",+0.04,-0.13,+0.08
2007,August,"115,817.83","22,169.47","93,648.36",-0.02,-0.24,+0.03
2007,September,"115,840.36","22,127.40","93,712.96",+0.02,-0.19,+0.07
2007,October,"115,884.54","22,086.14","93,798.41",0.04,-0.19,+0.09
2007,November,"115,942.99","22,074.10","93,868.89",+0.05,-0.05,+0.08
2007,December,"115,990.40","22,031.07","93,959.34",+0.04,-0.19,+0.1
2008,January,"116,108.03","22,014.47","94,093.56",+0.1,-0.08,+0.14
2008,February,"116,029.78","21,943.46","94,086.32",-0.07,-0.32,-0.01
2008,March,"115,849.00","21,820.00","94,029.00",-0.16,-0.56,-0.06
2008,April,"115,443.46","21,630.13","93,813.34",-0.35,-0.87,-0.23
2008,May,"115,034.18","21,447.79","93,586.38",-0.35,-0.84,-0.24
2008,June,"114,569.41","21,246.14","93,323.27",-0.4,-0.94,-0.28
2008,July,"114,153.35","21,067.12","93,086.24",-0.36,-0.84,-0.25
2008,August,"113,723.50","20,896.18","92,827.31",-0.38,-0.81,-0.28
2008,September,"113,234.87","20,710.86","92,524.01",-0.43,-0.89,-0.33
2008,October,"112,804.69","20,475.28","92,329.41",-0.38,-1.14,-0.21
2008,November,"112,185.14","20,188.21","91,996.94",-0.55,-1.4,-0.36
2008,December,"111,675.52","19,938.47","91,737.05",-0.45,-1.24,-0.28
2009,January,"111,091.70","19,745.32","91,346.38",-0.52,-0.97,-0.43
2009,February,"110,385.99","19,464.56","90,921.43",-0.64,-1.42,-0.47
2009,March,"109,969.00","19,227.00","90,742.00",-0.38,-1.22,-0.2
2009,April,"109,643.85","19,066.48","90,577.37",-0.3,-0.83,-0.18
2009,May,"109,399.84","18,934.75","90,465.09",-0.22,-0.69,-0.12
2009,June,"109,065.41","18,764.83","90,300.57",-0.31,-0.9,-0.18
2009,July,"108,885.25","18,610.43","90,274.82",-0.17,-0.82,-0.03
2009,August,"108,672.76","18,464.34","90,208.42",-0.2,-0.78,-0.07
2009,September,"108,547.04","18,364.38","90,182.66",-0.12,-0.54,-0.03
2009,October,"108,432.55","18,263.13","90,169.43",-0.11,-0.55,-0.01
2009,November,"108,058.76","18,118.12","89,940.64",-0.34,-0.79,-0.25
2009,December,"107,846.28","17,986.28","89,860.00",-0.2,-0.73,-0.09
2010,January,"107,709.27","17,865.16","89,844.11",-0.13,-0.67,-0.02
2010,February,"107,490.46","17,736.50","89,753.96",-0.2,-0.72,-0.1
2010,March,"107,377.00","17,672.00","89,705.00",-0.11,-0.36,-0.05
2010,April,"107,523.85","17,716.33","89,807.52",+0.14,+0.25,+0.11
